link;endereco;rua;bairro;regiao;bairro_cidade;regiao_cidade;cidade;estado;area;quartos;suites;banheiros;vagas;elevador;metro_trem;condominio;iptu;valor;tipo;loc;point;tipo_Apartamento;tipo_Casa;cidade_BeloHorizonte;cidade_RioDeJaneiro;cidade_SaoPaulo
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-150m2-venda-RS780000-id-2529229333/;Rua Deputado Bernardino de Sena Figueiredo, 1177 - Cidade Nova, Belo Horizonte - MG;Rua Deputado Bernardino de Sena Figueiredo, 1177;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;150;3;1;2;3;1;0;300;150.0;780000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-84m2-venda-RS450000-id-2533067803/;Rua Deputado Bernardino de Sena Figueiredo - Cidade Nova, Belo Horizonte - MG;Rua Deputado Bernardino de Sena Figueiredo;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;84;3;1;3;1;0;0;340;1268.0;450000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-4-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-145m2-venda-RS1650000-id-2525457117/;Rua Nicolina Pacheco - Cidade Nova, Belo Horizonte - MG;Rua Nicolina Pacheco;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;145;4;2;4;3;1;0;1100;3000.0;1650000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-2-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-74m2-venda-RS295000-id-2526611528/;Avenida Cristiano Machado - Cidade Nova, Belo Horizonte - MG;Avenida Cristiano Machado;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;74;2;1;1;1;1;0;310;129.0;295000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-4-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-121m2-venda-RS1300000-id-2516438236/;Rua Deputado Bernardino de Sena Figueiredo, 153 - Cidade Nova, Belo Horizonte - MG;Rua Deputado Bernardino de Sena Figueiredo, 153;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;121;4;1;2;3;1;0;850;3000.0;1300000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-4-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-177m2-venda-RS750000-id-2525341376/;Rua Professor Pimenta da Veiga - Cidade Nova, Belo Horizonte - MG;Rua Professor Pimenta da Veiga;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;177;4;2;3;2;1;0;550;112.0;750000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-85m2-venda-RS400000-id-2525200188/;Avenida José Cândido da Silveira - Cidade Nova, Belo Horizonte - MG;Avenida José Cândido da Silveira;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;85;3;1;2;1;1;0;0;2000.0;400000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/cobertura-4-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-173m2-venda-RS1100000-id-2504943861/;Rua Alto da Mata - Cidade Nova, Belo Horizonte - MG;Rua Alto da Mata;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;173;4;1;3;3;0;0;0;5500.0;1100000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/apartamento-3-quartos-cidade-nova-bairros-belo-horizonte-com-garagem-78m2-venda-RS740000-id-2532295621/;Rua Deputado Bernardino de Sena Figueiredo, 628 - Cidade Nova, Belo Horizonte - MG;Rua Deputado Bernardino de Sena Figueiredo, 628;CIDADE NOVA;REGIAO NORDESTE;BAIRRO CIDADE NOVA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;78;3;1;2;2;1;0;0;3700.0;740000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
https://www.vivareal.com.br/imovel/cobertura-3-quartos-nova-floresta-bairros-belo-horizonte-com-garagem-150m2-venda-RS895000-id-2527274258/;Rua Horta Barbosa - Nova Floresta, Belo Horizonte - MG;Rua Horta Barbosa;NOVA FLORESTA;REGIAO NORDESTE;BAIRRO NOVA FLORESTA, BELO HORIZONTE, MINAS GERAIS, BRASIL;REGIAO NORDESTE, BELO HORIZONTE, MINAS GERAIS, BRASIL;Belo Horizonte;MINAS GERAIS;150;3;1;3;3;0;0;220;2944.0;895000.0;Apartamento;;(-19.862296478496713, -43.91179480073082, 0.0);1;0;1;0;0
